Case 1: Area 3845883.2343749995, Perimeter 7844.4
Case 86: Area 3916433.7674459997, Perimeter 7916.394
Case 87: Area 3517651.0694250003, Perimeter 7510.012000000001
Case 88: Area 3748129.709247, Perimeter 7745.376
Case 89: Area 3715448.3581040003, Perimeter 7710.492
Case 90: Area 3826969.726168, Perimeter 7825.892
Case 91: Area 860805.3799399999, Perimeter 4293.522
Case 92: Area 2637449.079517, Perimeter 6551.995999999999
Case 93: Area 3736963.599206, Perimeter 7733.49
Case 94: Area 3687259.839851, Perimeter 7682.904
Case 95: Area 3310468.0352629996, Perimeter 7283.951999999999
Case 96: Area 3330822.249594, Perimeter 7300.402
Case 97: Area 3763937.029482, Perimeter 7761.406
Case 98: Area 2499919.225554, Perimeter 6324.59
Case 99: Area 2737669.6615, Perimeter 6626.889999999999
Case 100: Area 3739552.79724, Perimeter 7735.1720000000005
Case 101: Area 2849922.5644259998, Perimeter 6752.87
Case 102: Area 3804011.688575001, Perimeter 7801.968000000001
Case 103: Area 3832829.159486, Perimeter 7831.626
Case 104: Area 3429584.075931, Perimeter 7409.864
Case 105: Area 3756388.844692, Perimeter 7752.974
Case 106: Area 3875273.494488, Perimeter 7874.478
Case 107: Area 3597269.629632, Perimeter 7589.835999999999
Case 108: Area 1591568.446923, Perimeter 5083.992
Case 109: Area 3801518.740812, Perimeter 7799.294
Case 110: Area 3838078.6855780003, Perimeter 7836.938
Case 111: Area 3930604.824927, Perimeter 7930.335999999999
Case 112: Area 3645408.706691, Perimeter 7637.4
Case 113: Area 2819893.9984, Perimeter 6719.776
Case 114: Area 3842976.9957810002, Perimeter 7841.42
Case 115: Area 1456807.1835359999, Perimeter 5241.824
Case 116: Area 3982260.8414680003, Perimeter 7982.242
Case 117: Area 3858605.3388300003, Perimeter 7857.478
Case 118: Area 3860970.762444, Perimeter 7860.302
Case 119: Area 3790915.6953359996, Perimeter 7789.324
Case 120: Area 3807257.7368520005, Perimeter 7806.814
Case 121: Area 3688839.5163750006, Perimeter 7683.280000000001
Case 122: Area 3620303.1147330003, Perimeter 7610.852000000001
Case 123: Area 3817443.6537079997, Perimeter 7815.888
Case 124: Area 3486981.2854799996, Perimeter 7475.588
Case 125: Area 3267489.14028, Perimeter 7231.772
Case 126: Area 3903158.0798369995, Perimeter 7902.596
Case 127: Area 3380378.722272, Perimeter 7355.1939999999995
Case 128: Area 3771369.9901409997, Perimeter 7768.516
Case 129: Area 3494688.93207, Perimeter 7478.746
Case 130: Area 3904159.959384, Perimeter 7903.737999999999
Case 131: Area 3634953.6987799997, Perimeter 7629.984
Case 132: Area 3789830.42256, Perimeter 7787.384
Case 133: Area 3871946.042902, Perimeter 7871.054
Case 134: Area 3816968.0270519997, Perimeter 7815.026
Case 135: Area 3596705.4837999996, Perimeter 7586.397999999999
Case 136: Area 3379863.420339, Perimeter 7360.84
Case 137: Area 3876134.6629350004, Perimeter 7875.664000000001
Case 138: Area 3319310.189844, Perimeter 7289.21
Case 139: Area 3789347.8986719996, Perimeter 7787.186
Case 140: Area 3476069.602796, Perimeter 7459.344
Case 141: Area 3956721.632452, Perimeter 7956.706
Case 142: Area 3908784.494784, Perimeter 7908.29
Case 143: Area 3900780.72352, Perimeter 7900.268
Case 144: Area 3908446.2271530004, Perimeter 7907.932000000001
Case 145: Area 3452589.9177600006, Perimeter 7435.3640000000005
Case 146: Area 3818963.38586, Perimeter 7817.634
Case 147: Area 3843609.937299, Perimeter 7842.52
Case 148: Area 3705410.1640899996, Perimeter 7702.298
Case 149: Area 3692654.0861279997, Perimeter 7687.178
Case 150: Area 3480960.8366889996, Perimeter 7472.067999999999
Case 151: Area 3454083.49292, Perimeter 7435.044
Case 152: Area 2137007.4064080003, Perimeter 5848.028
Case 153: Area 3796644.9567199997, Perimeter 7794.294
Case 154: Area 3180085.2901980006, Perimeter 7141.962
Case 155: Area 3640581.361543, Perimeter 7637.408
Case 156: Area 3838926.9401479997, Perimeter 7838.142
Case 157: Area 3400877.4079279997, Perimeter 7379.412
Case 158: Area 3534278.82552, Perimeter 7520.862
Case 159: Area 3862665.5361279994, Perimeter 7861.911999999999
Case 160: Area 3768818.46467, Perimeter 7767.4619999999995
Case 161: Area 3552112.311293, Perimeter 7544.388
Case 162: Area 3871803.6892399997, Perimeter 7871.718
Case 163: Area 2413352.9800099996, Perimeter 6288.822
Case 164: Area 3783957.472218, Perimeter 7781.098
Case 165: Area 3818872.59662, Perimeter 7816.848
Case 166: Area 3886880.322096, Perimeter 7886.1
Case 167: Area 3668113.657143, Perimeter 7661.232
Case 168: Area 1986070.9090800001, Perimeter 5739.398
Case 169: Area 3705129.1112679997, Perimeter 7700.638
Case 170: Area 3728379.57774, Perimeter 7724.272
Case 171: Area 3862798.673872, Perimeter 7861.744000000001
Case 172: Area 3771563.842595, Perimeter 7769.544
Case 173: Area 3745042.9413199998, Perimeter 7743.618
Case 174: Area 3848594.370768, Perimeter 7847.298
Case 175: Area 3688880.854416, Perimeter 7682.620000000001
Case 176: Area 3718243.8309379998, Perimeter 7713.198
Case 177: Area 3506045.78223, Perimeter 7491.0380000000005
Case 178: Area 3351374.4108120003, Perimeter 7322.786
Case 179: Area 3826668.9421100006, Perimeter 7824.942000000001
Case 180: Area 3233390.58135, Perimeter 7196.21
Case 181: Area 3942820.418823, Perimeter 7942.6720000000005
Case 182: Area 3725501.5448740004, Perimeter 7721.078
Case 183: Area 3752960.1641740003, Perimeter 7749.778
Case 184: Area 3496494.9559599995, Perimeter 7485.268
Case 185: Area 3764674.9189799996, Perimeter 7763.686
Case 186: Area 3834814.390944, Perimeter 7833.098
Case 187: Area 3509158.971682, Perimeter 7493.126
Case 188: Area 3329351.9335439997, Perimeter 7311.548
Case 189: Area 3639877.17212, Perimeter 7631.388
Case 190: Area 3808894.930521, Perimeter 7806.700000000001
Case 191: Area 3362245.334391, Perimeter 7341.184
Case 192: Area 3869841.041836, Perimeter 7869.04
Case 193: Area 208823.52114, Perimeter 1830.536
Case 194: Area 3850060.6028630002, Perimeter 7849.488
Case 195: Area 3639960.83376, Perimeter 7635.8279999999995
Case 196: Area 3733988.0951040005, Perimeter 7733.542
Case 197: Area 2502180.488035, Perimeter 6360.728
Case 198: Area 3613423.4886210007, Perimeter 7603.9400000000005
Case 199: Area 1364112.522136, Perimeter 4727.65
Case 200: Area 3763606.21972, Perimeter 7760.378
Case 201: Area 3665559.8303659996, Perimeter 7662.066
Case 202: Area 3351564.348748, Perimeter 7327.888
Case 203: Area 3894473.521256, Perimeter 7894.236
Case 204: Area 3607928.5237980005, Perimeter 7599.098
Case 205: Area 3672438.5145139997, Perimeter 7668.57
Case 206: Area 3790516.8374670004, Perimeter 7787.704
Case 207: Area 2855724.09238, Perimeter 6759.968
Case 208: Area 3256462.9294319996, Perimeter 7227.244
Case 209: Area 3786932.148488, Perimeter 7784.028
Case 210: Area 3567428.289675, Perimeter 7555.464
Case 211: Area 3911916.2971500005, Perimeter 7911.426
Case 212: Area 3525309.4876349997, Perimeter 7511.335999999999
Case 213: Area 3343313.967224, Perimeter 7319.022
Case 214: Area 3719747.770134, Perimeter 7714.97
Case 215: Area 3689924.592728, Perimeter 7683.732
Case 216: Area 3882402.126345, Perimeter 7882.124
Case 217: Area 3791214.02814, Perimeter 7788.418
Case 218: Area 3933043.7974289996, Perimeter 7932.78
Case 219: Area 2182387.8603749997, Perimeter 5947.5199999999995
Case 220: Area 384912.904428, Perimeter 2833.062
Case 221: Area 462169.02023, Perimeter 2781.726
Case 222: Area 2940288.214776, Perimeter 6892.01
Case 223: Area 3917890.3148000003, Perimeter 7917.588
Case 224: Area 3602913.433478, Perimeter 7593.438
Case 225: Area 3856413.41874, Perimeter 7855.608
Case 226: Area 3717569.678872, Perimeter 7712.505999999999
Case 227: Area 374833.71364, Perimeter 3317.8059999999996
Case 228: Area 3159384.994938, Perimeter 7113.418
Case 229: Area 3690992.253264, Perimeter 7687.0599999999995
Case 230: Area 3828903.8449199996, Perimeter 7827.085999999999
Case 231: Area 3345882.366624, Perimeter 7320.772
Case 232: Area 3866247.745245, Perimeter 7865.276
Case 233: Area 3683864.9749999996, Perimeter 7677.972
Case 234: Area 3348186.760314, Perimeter 7322.33
Case 235: Area 3616394.0216979994, Perimeter 7608.322
Case 236: Area 3170803.32668, Perimeter 7123.7880000000005
Case 237: Area 3525277.943163, Perimeter 7510.952
Case 238: Area 3621309.5033939993, Perimeter 7612.197999999999
Case 239: Area 3970289.297802, Perimeter 7970.234
Case 240: Area 3891892.8464760003, Perimeter 7891.154
Case 241: Area 3643492.8747280003, Perimeter 7635.302
Case 242: Area 3853179.1245420002, Perimeter 7852.054
Case 243: Area 3109499.4279119996, Perimeter 7054.075999999999
Case 244: Area 3377577.001482, Perimeter 7359.126
Case 245: Area 3866876.802555, Perimeter 7865.752
Case 246: Area 3808218.6676640003, Perimeter 7806.468000000001
Case 247: Area 2290860.368576, Perimeter 6198.360000000001
Case 248: Area 3538886.465576, Perimeter 7524.780000000001
Case 249: Area 3543476.8648320003, Perimeter 7529.684
Case 250: Area 3842788.7500420003, Perimeter 7842.034000000001
Case 251: Area 3619481.715276, Perimeter 7610.354
Case 252: Area 3528008.473228, Perimeter 7527.278
Case 253: Area 3917683.4607120003, Perimeter 7917.434
Case 254: Area 3296685.704265, Perimeter 7263.348
Case 255: Area 3690703.0770299993, Perimeter 7684.5779999999995
Case 256: Area 3684391.8848, Perimeter 7677.93
Case 257: Area 3758111.2005840004, Perimeter 7754.66
Case 258: Area 2832775.0069139996, Perimeter 6762.7699999999995
Case 259: Area 3954437.238162, Perimeter 7954.354
Case 260: Area 3653711.1888269996, Perimeter 7646.056
Case 261: Area 3627294.0448849997, Perimeter 7618.668
Case 262: Area 3631717.851264, Perimeter 7624.082
Case 263: Area 3832487.5259680003, Perimeter 7831.118
Case 264: Area 3482859.4088399997, Perimeter 7465.044
Case 265: Area 3658548.888024, Perimeter 7651.621999999999
Case 266: Area 3413578.8410400003, Perimeter 7393.264
Case 267: Area 3812207.230074, Perimeter 7810.322
Case 268: Area 3325030.5859999997, Perimeter 7297.356
Case 269: Area 3842666.2881360003, Perimeter 7841.34
Case 270: Area 3802519.679778, Perimeter 7800.518
Case 271: Area 3293377.0151, Perimeter 7265.856
Case 272: Area 3610543.1971499994, Perimeter 7603.038
Case 273: Area 3539312.773118, Perimeter 7526.778
Case 274: Area 3769859.859675, Perimeter 7766.648
Case 275: Area 3791879.1477560005, Perimeter 7790.064
Case 276: Area 3817596.84414, Perimeter 7815.634
Case 277: Area 3677532.505416, Perimeter 7672.27
Case 278: Area 3733819.94643, Perimeter 7730.002
Case 279: Area 3664333.5664319997, Perimeter 7659.896
Case 280: Area 3892530.7398659997, Perimeter 7891.8099999999995
Case 281: Area 3933413.005802, Perimeter 7933.206
Case 282: Area 2794326.51764, Perimeter 6716.802
Case 283: Area 3354168.165153, Perimeter 7345.732
Case 284: Area 2342984.628446, Perimeter 6189.8099999999995
Case 285: Area 3777812.692332, Perimeter 7775.085999999999
Case 286: Area 3788319.0336480006, Perimeter 7785.6320000000005
Case 287: Area 3820501.86118, Perimeter 7818.464
Case 288: Area 3709399.3614600003, Perimeter 7704.166
Case 289: Area 2990383.489312, Perimeter 6919.256
Case 290: Area 3042267.835662, Perimeter 6977.446
Case 291: Area 3651787.1101419996, Perimeter 7645.954
Case 292: Area 3925565.208, Perimeter 7925.24
Case 293: Area 3944233.9330100003, Perimeter 7944.102000000001
Case 294: Area 612707.9859519999, Perimeter 3427.3959999999997
Case 295: Area 3845097.6660160003, Perimeter 7843.57
Case 296: Area 3785614.319062, Perimeter 7782.934
Case 297: Area 3661377.76224, Perimeter 7654.536
Case 298: Area 3528131.5574549995, Perimeter 7513.503999999999
Case 299: Area 3449070.298968, Perimeter 7436.188
Case 300: Area 3419112.2954340004, Perimeter 7410.290000000001
Case 301: Area 3778090.98091, Perimeter 7775.206
Case 302: Area 3816423.3593220003, Perimeter 7814.966
Case 303: Area 3794276.3777799997, Perimeter 7791.6939999999995
Case 304: Area 3626150.6736000003, Perimeter 7619.448
Case 305: Area 3635185.462375, Perimeter 7631.344
Case 306: Area 3665296.59126, Perimeter 7658.062
Case 307: Area 0.0, Perimeter 0.0
Case 308: Area 3814166.0336370002, Perimeter 7811.956
Case 309: Area 3871792.2045920007, Perimeter 7871.3640000000005
Case 310: Area 3445412.6251439997, Perimeter 7427.451999999999
Case 311: Area 3751753.49835, Perimeter 7748.786
Case 312: Area 3789348.308764, Perimeter 7787.45
Case 313: Area 0.0, Perimeter 0.0
Case 314: Area 3913159.500653, Perimeter 7912.932000000001
Case 315: Area 3847564.1825039997, Perimeter 7846.87
Case 316: Area 3693622.791757, Perimeter 7688.996
Case 317: Area 3612333.556607, Perimeter 7602.816000000001
Case 318: Area 3865791.3746100008, Perimeter 7864.954000000001
Case 319: Area 3880418.837859, Perimeter 7879.512000000001
Case 320: Area 3511598.6261279997, Perimeter 7500.682
Case 321: Area 161789.74992, Perimeter 2636.7479999999996
Case 322: Area 3873580.351576, Perimeter 7872.603999999999
Case 323: Area 3691613.873184, Perimeter 7686.92
Case 324: Area 3331895.70792, Perimeter 7301.846
Case 325: Area 3812673.95685, Perimeter 7810.482
Case 326: Area 0.0, Perimeter 0.0
Case 327: Area 3780758.0838999995, Perimeter 7778.9439999999995
Case 328: Area 3755509.214106, Perimeter 7751.87
Case 329: Area 3847935.3713260004, Perimeter 7846.954000000001
Case 330: Area 3403866.421298, Perimeter 7385.178
Case 331: Area 3922143.633664, Perimeter 7922.031999999999
Case 332: Area 3921622.5613439996, Perimeter 7921.24
Case 333: Area 3486017.456189, Perimeter 7470.468
Case 334: Area 2766421.5111, Perimeter 6731.902
Case 335: Area 3758047.274868, Perimeter 7754.698
Case 336: Area 3683792.8086240003, Perimeter 7680.26
Case 337: Area 3893880.871892, Perimeter 7893.336
Case 338: Area 3566525.9161, Perimeter 7555.582
Case 339: Area 3928552.804448, Perimeter 7928.232
Case 340: Area 3887215.0815259996, Perimeter 7886.49
Case 341: Area 3674324.0667439997, Perimeter 7667.91
Case 342: Area 3687611.67871, Perimeter 7681.4619999999995
Case 343: Area 3555040.7882080004, Perimeter 7544.372
Case 344: Area 3615251.35774, Perimeter 7606.378
Case 345: Area 3765750.4178879997, Perimeter 7762.348
Case 346: Area 3968722.730741, Perimeter 7968.683999999999
Case 347: Area 3388830.7527619996, Perimeter 7376.874
Case 348: Area 3676651.088, Perimeter 7670.34
Case 349: Area 3599002.3368750005, Perimeter 7588.52
Case 350: Area 3825715.7552000005, Perimeter 7823.886
Case 351: Area 3619368.9722959995, Perimeter 7612.259999999999
Case 352: Area 3643914.648375, Perimeter 7635.68
Case 353: Area 3910806.571296, Perimeter 7910.344
Case 354: Area 3664380.184353, Perimeter 7657.668
Case 355: Area 3687809.7270739996, Perimeter 7687.278
Case 356: Area 3899022.0853679995, Perimeter 7898.668
Case 357: Area 3697078.7970979996, Perimeter 7691.682
Case 358: Area 3670437.1005510003, Perimeter 7663.904
Case 359: Area 3686053.109336, Perimeter 7685.5740000000005
Case 360: Area 1748445.521201, Perimeter 5290.98
Case 361: Area 3437793.2646319997, Perimeter 7416.546
Case 362: Area 3747935.179905, Perimeter 7745.372
Case 363: Area 3666907.7464560005, Perimeter 7660.030000000001
Case 364: Area 3866190.82101, Perimeter 7865.414000000001
Case 365: Area 3655463.0338810002, Perimeter 7647.764
Case 366: Area 923157.2340589999, Perimeter 3858.6
Case 367: Area 3757578.258062, Perimeter 7756.853999999999
Case 368: Area 3804930.909498, Perimeter 7802.5779999999995
Case 369: Area 3778658.138788, Perimeter 7776.088
Case 370: Area 3779851.548648, Perimeter 7777.652
Case 371: Area 3599632.8624599995, Perimeter 7590.186
Case 372: Area 3844215.230042, Perimeter 7842.714
Case 373: Area 3877144.016856, Perimeter 7876.286
Case 374: Area 2747354.9829479996, Perimeter 6635.382
Case 375: Area 626137.438176, Perimeter 3244.696
Case 376: Area 3852063.993837, Perimeter 7850.716
Case 377: Area 3206797.971, Perimeter 7163.3060000000005
Case 378: Area 1631943.54996, Perimeter 5198.486
Case 379: Area 3731116.604364, Perimeter 7727.28
Case 380: Area 3934695.113895, Perimeter 7934.432
Case 381: Area 3869747.4013790004, Perimeter 7868.76
Case 382: Area 3944410.582392, Perimeter 7944.276
Case 383: Area 3795269.64887, Perimeter 7793.478
Case 384: Area 3877630.8141719997, Perimeter 7876.834
Case 385: Area 3212226.3997440003, Perimeter 7181.298000000001
Case 386: Area 3920658.8307249993, Perimeter 7920.331999999999
Case 387: Area 3636789.813976, Perimeter 7628.246
Case 388: Area 3822285.2139709997, Perimeter 7820.28
Case 389: Area 3704069.1606760006, Perimeter 7699.154
Case 390: Area 3897762.9128249995, Perimeter 7897.204
Case 391: Area 3922729.5881999996, Perimeter 7922.451999999999
Case 392: Area 3567750.1061160006, Perimeter 7557.2660000000005
Case 393: Area 3083824.8090000004, Perimeter 7026.74
Case 394: Area 3910625.85861, Perimeter 7910.162
Case 395: Area 3733625.10969, Perimeter 7730.026
Case 396: Area 3764438.084134, Perimeter 7763.27
Case 397: Area 3480265.030225, Perimeter 7463.996
Case 398: Area 3354397.648296, Perimeter 7326.5560000000005
Case 399: Area 3706401.404016, Perimeter 7701.184
Case 400: Area 2739082.840098, Perimeter 6682.018
Case 401: Area 0.0, Perimeter 0.0
Case 402: Area 3902719.9476240003, Perimeter 7902.1720000000005
Case 403: Area 3295812.3504439997, Perimeter 7262.598
Case 404: Area 3565568.278468, Perimeter 7555.522
Case 405: Area 3699010.4185319995, Perimeter 7693.593999999999
Case 406: Area 3842356.0945679997, Perimeter 7840.772
Case 407: Area 3765759.212592, Perimeter 7765.156
Case 408: Area 3682992.56409, Perimeter 7679.706
Case 409: Area 3613055.215185, Perimeter 7603.652
Case 410: Area 3718115.286028, Perimeter 7713.322
Case 411: Area 3598787.2348619998, Perimeter 7594.773999999999
Case 412: Area 3849411.8604, Perimeter 7848.6759999999995
Case 413: Area 3726057.574304, Perimeter 7721.2080000000005
Case 414: Area 2923353.068722, Perimeter 6858.034
Case 415: Area 3870751.114802, Perimeter 7870.0740000000005
Case 416: Area 3724667.648611, Perimeter 7722.92
Case 417: Area 3845666.5452159997, Perimeter 7844.834
Case 418: Area 0.0, Perimeter 0.0
Case 419: Area 3836801.2981980005, Perimeter 7835.102000000001
Case 420: Area 3786744.12798, Perimeter 7784.594
Case 421: Area 2786535.724132, Perimeter 6732.183999999999
Case 422: Area 3856370.27093, Perimeter 7855.086
Case 423: Area 3843096.268664, Perimeter 7841.58
Case 424: Area 3677740.31367, Perimeter 7673.154
Case 425: Area 3195797.4368999996, Perimeter 7179.438
Case 426: Area 3544875.731958, Perimeter 7532.138
Case 427: Area 3121574.452533, Perimeter 7091.308
Case 428: Area 3325524.3746200004, Perimeter 7294.522000000001
Case 429: Area 3830721.071692, Perimeter 7828.894
Case 430: Area 3890920.400392, Perimeter 7890.236
Case 431: Area 3820763.1396240005, Perimeter 7818.828
Case 432: Area 3798674.6542839995, Perimeter 7796.11
Case 433: Area 3599573.204364, Perimeter 7590.482
Case 434: Area 3220111.264404, Perimeter 7177.879999999999
Case 435: Area 3796854.9919020003, Perimeter 7794.646000000001
Case 436: Area 3802485.8337899996, Perimeter 7800.0019999999995
Case 437: Area 3761831.2397749997, Perimeter 7760.352
Case 438: Area 3715476.163816, Perimeter 7711.966
Case 439: Area 3757686.6543059996, Perimeter 7754.786
Case 440: Area 3377484.740505, Perimeter 7372.052
Case 441: Area 0.0, Perimeter 0.0
Case 442: Area 3829512.838576, Perimeter 7828.55
Case 443: Area 3719848.27704, Perimeter 7715.798000000001
Case 444: Area 3915896.0032679997, Perimeter 7915.618
Case 445: Area 3851428.791532, Perimeter 7850.384
Case 446: Area 3898804.5157390004, Perimeter 7898.6
Case 447: Area 3169491.439477, Perimeter 7122.196
Case 448: Area 3706801.6998419994, Perimeter 7701.554
Case 449: Area 3706937.5802119994, Perimeter 7705.614
Case 450: Area 3580518.195198, Perimeter 7570.362
Case 451: Area 3796458.0100740003, Perimeter 7794.13
Case 452: Area 3526413.50152, Perimeter 7511.504
Case 453: Area 3363191.248945, Perimeter 7336.036
Case 454: Area 3569376.930176, Perimeter 7563.6
Case 455: Area 3812533.53756, Perimeter 7810.6939999999995
Case 456: Area 3681371.6568719996, Perimeter 7674.876
Case 457: Area 3745431.287028, Perimeter 7741.402
Case 458: Area 3800980.7028050004, Perimeter 7799.148
Case 459: Area 3841240.3398599997, Perimeter 7839.657999999999
Case 460: Area 2514362.47848, Perimeter 6366.066000000001
Case 461: Area 3809524.6654499993, Perimeter 7807.201999999999
Case 462: Area 3901644.1696250006, Perimeter 7901.460000000001
Case 463: Area 3902959.5324959997, Perimeter 7902.706
Case 464: Area 3939394.4709570003, Perimeter 7939.164000000001
Case 465: Area 3775180.652544, Perimeter 7771.952
Case 466: Area 3889134.1950240005, Perimeter 7888.372
Case 467: Area 3527261.391752, Perimeter 7513.134
Case 468: Area 3888684.95859, Perimeter 7887.906
Case 469: Area 3909564.08713, Perimeter 7909.106
Case 470: Area 3230532.5259900005, Perimeter 7189.5380000000005
Case 471: Area 3344868.6307400004, Perimeter 7332.3060000000005
Case 472: Area 3858684.0341699994, Perimeter 7857.554
Case 473: Area 3819960.8868000004, Perimeter 7818.028
Case 474: Area 2931514.090908, Perimeter 6875.968
Case 475: Area 3893238.833936, Perimeter 7892.574
Case 476: Area 3727628.2768409997, Perimeter 7723.084
Case 477: Area 3762146.5767599996, Perimeter 7759.418
Case 478: Area 2612985.83568, Perimeter 6530.664
Case 479: Area 3138275.5895500006, Perimeter 7114.030000000001
Case 480: Area 3710128.9068199997, Perimeter 7704.678
Case 481: Area 3780863.840754, Perimeter 7777.79
Case 482: Area 3755262.47859, Perimeter 7752.353999999999
Case 483: Area 3861526.1149750003, Perimeter 7860.464
Case 484: Area 3690824.3400700004, Perimeter 7685.042
Case 485: Area 2928414.98789, Perimeter 6850.938
Case 486: Area 3375144.5303499997, Perimeter 7359.41
Case 487: Area 3705607.1064999998, Perimeter 7702.03
Case 488: Area 3837167.26656, Perimeter 7836.668
Case 489: Area 3920369.5791820004, Perimeter 7919.986000000001
Case 490: Area 3148973.3855999997, Perimeter 7117.1359999999995
Case 491: Area 3778103.0878919996, Perimeter 7776.245999999999
Case 492: Area 3492860.7964020004, Perimeter 7477.426
Case 493: Area 3641910.196401, Perimeter 7639.396000000001
Case 494: Area 2960496.095216, Perimeter 6909.834
Case 495: Area 3795659.325102, Perimeter 7794.314
Case 496: Area 3031270.895359, Perimeter 7004.56
Case 497: Area 3586729.0179600003, Perimeter 7581.858
Case 498: Area 3912407.33635, Perimeter 7912.102
Case 499: Area 3662114.956171, Perimeter 7654.84
Case 500: Area 3762601.3753680005, Perimeter 7758.988
Case 501: Area 3562755.20724, Perimeter 7550.146
Case 502: Area 3783720.9202799997, Perimeter 7780.755999999999
Case 503: Area 3516705.597132, Perimeter 7512.626
Case 504: Area 2222191.807551, Perimeter 5983.2
Case 505: Area 2215876.7619320005, Perimeter 5972.976000000001
